[DEBUG] 2021-03-08 01:00:23.051 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-08 01:00:23.057 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-08 01:00:23.064 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-08 01:00:23.199 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-03-08 01:00:23.201 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-08 01:00:23.449 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-08 01:00:23.451 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-08 01:00:23.456 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-08 01:00:23.764 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-08 01:00:23.787 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-08 01:00:23.790 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-08 01:00:23.811 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-08 01:00:23.855 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@23b8d9f3
[DEBUG] 2021-03-08 01:00:23.855 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@23b8d9f3
[DEBUG] 2021-03-08 01:00:23.855 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@23b8d9f3
[DEBUG] 2021-03-08 01:00:23.855 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@38d17d80
[DEBUG] 2021-03-08 01:00:23.856 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@1229a2b7
[DEBUG] 2021-03-08 01:00:23.857 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@10a0fe30
[DEBUG] 2021-03-08 01:00:23.858 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6069dd38
[DEBUG] 2021-03-08 01:00:23.859 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@6069dd38
[DEBUG] 2021-03-08 01:00:23.859 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@6069dd38
[DEBUG] 2021-03-08 01:00:23.861 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@26dc9bd5
[DEBUG] 2021-03-08 01:00:23.861 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@26dc9bd5
[DEBUG] 2021-03-08 01:00:23.861 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@26dc9bd5
[DEBUG] 2021-03-08 01:00:23.863 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@767a014e
[DEBUG] 2021-03-08 01:00:23.863 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@767a014e
[DEBUG] 2021-03-08 01:00:23.864 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@767a014e
[DEBUG] 2021-03-08 01:00:23.865 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@70228253
[DEBUG] 2021-03-08 01:00:23.865 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@70228253
[DEBUG] 2021-03-08 01:00:23.865 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@70228253
[DEBUG] 2021-03-08 01:00:23.866 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@65b97f47
[DEBUG] 2021-03-08 01:00:23.867 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@65b97f47
[DEBUG] 2021-03-08 01:00:23.867 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@65b97f47
[DEBUG] 2021-03-08 01:00:23.868 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@352c44a8
[DEBUG] 2021-03-08 01:00:23.868 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@352c44a8
[DEBUG] 2021-03-08 01:00:23.868 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@352c44a8
[DEBUG] 2021-03-08 01:00:23.870 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5df778c3
[DEBUG] 2021-03-08 01:00:23.870 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@5df778c3
[DEBUG] 2021-03-08 01:00:23.870 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@5df778c3
[DEBUG] 2021-03-08 01:00:23.872 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@6981f8f3
[DEBUG] 2021-03-08 01:00:23.872 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@6981f8f3
[DEBUG] 2021-03-08 01:00:23.873 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@117525fe
[DEBUG] 2021-03-08 01:00:23.873 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@117525fe
[DEBUG] 2021-03-08 01:00:23.874 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@55e42449
[DEBUG] 2021-03-08 01:00:23.875 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@55e42449
[DEBUG] 2021-03-08 01:00:23.876 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@cb7fa71
[DEBUG] 2021-03-08 01:00:23.877 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@654c7d2d
[DEBUG] 2021-03-08 01:00:23.878 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@277b8fa4
[DEBUG] 2021-03-08 01:00:23.879 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@277b8fa4
[DEBUG] 2021-03-08 01:00:23.880 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@4b200971
[DEBUG] 2021-03-08 01:00:23.880 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@4b200971
[DEBUG] 2021-03-08 01:00:23.890 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@5f0f9947
[DEBUG] 2021-03-08 01:00:23.890 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@5f0f9947
[DEBUG] 2021-03-08 01:00:23.892 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@4b65d9f4
[DEBUG] 2021-03-08 01:00:23.892 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@4b65d9f4
[DEBUG] 2021-03-08 01:00:23.899 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@36681447
[DEBUG] 2021-03-08 01:00:23.899 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@36681447
[DEBUG] 2021-03-08 01:00:23.902 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@121bb45b
[DEBUG] 2021-03-08 01:00:23.902 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@121bb45b
[DEBUG] 2021-03-08 01:00:23.904 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@40e37b06
[DEBUG] 2021-03-08 01:00:23.905 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@40e37b06
[DEBUG] 2021-03-08 01:00:23.907 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@328d044f
[DEBUG] 2021-03-08 01:00:23.907 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@328d044f
[DEBUG] 2021-03-08 01:00:23.910 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5a6fa56e
[DEBUG] 2021-03-08 01:00:23.910 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@5a6fa56e
[DEBUG] 2021-03-08 01:00:23.912 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@4613311f
[DEBUG] 2021-03-08 01:00:23.912 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@4613311f
[DEBUG] 2021-03-08 01:00:23.913 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@3dfa819
[DEBUG] 2021-03-08 01:00:23.913 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@3dfa819
[DEBUG] 2021-03-08 01:00:23.914 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@53b7ce6
