[DEBUG] 2021-03-09 16:52:05.018 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2021-03-09 16:52:05.023 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2021-03-09 16:52:05.027 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2021-03-09 16:52:05.101 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2021-03-09 16:52:05.102 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2021-03-09 16:52:05.293 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2021-03-09 16:52:05.305 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2021-03-09 16:52:05.309 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2021-03-09 16:52:05.534 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2021-03-09 16:52:05.551 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2021-03-09 16:52:05.552 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2021-03-09 16:52:05.570 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2021-03-09 16:52:05.600 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@17d32e9b
[DEBUG] 2021-03-09 16:52:05.600 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@17d32e9b
[DEBUG] 2021-03-09 16:52:05.600 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@17d32e9b
[DEBUG] 2021-03-09 16:52:05.600 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@10afe71a
[DEBUG] 2021-03-09 16:52:05.601 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@65d57e4e
[DEBUG] 2021-03-09 16:52:05.601 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@9fc9f91
[DEBUG] 2021-03-09 16:52:05.602 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2f00f851
[DEBUG] 2021-03-09 16:52:05.602 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@2f00f851
[DEBUG] 2021-03-09 16:52:05.602 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@2f00f851
[DEBUG] 2021-03-09 16:52:05.603 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@16e7b402
[DEBUG] 2021-03-09 16:52:05.603 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@16e7b402
[DEBUG] 2021-03-09 16:52:05.603 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@16e7b402
[DEBUG] 2021-03-09 16:52:05.604 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@44b18fe4
[DEBUG] 2021-03-09 16:52:05.604 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@44b18fe4
[DEBUG] 2021-03-09 16:52:05.605 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@44b18fe4
[DEBUG] 2021-03-09 16:52:05.606 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@49122b8f
[DEBUG] 2021-03-09 16:52:05.606 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@49122b8f
[DEBUG] 2021-03-09 16:52:05.606 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@49122b8f
[DEBUG] 2021-03-09 16:52:05.607 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7cd4a4d7
[DEBUG] 2021-03-09 16:52:05.607 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@7cd4a4d7
[DEBUG] 2021-03-09 16:52:05.607 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@7cd4a4d7
[DEBUG] 2021-03-09 16:52:05.608 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6f3e19b3
[DEBUG] 2021-03-09 16:52:05.608 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@6f3e19b3
[DEBUG] 2021-03-09 16:52:05.608 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@6f3e19b3
[DEBUG] 2021-03-09 16:52:05.609 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2c7a8af2
[DEBUG] 2021-03-09 16:52:05.610 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@2c7a8af2
[DEBUG] 2021-03-09 16:52:05.610 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@2c7a8af2
[DEBUG] 2021-03-09 16:52:05.611 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@1894e40d
[DEBUG] 2021-03-09 16:52:05.611 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@1894e40d
[DEBUG] 2021-03-09 16:52:05.612 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@2241f05b
[DEBUG] 2021-03-09 16:52:05.612 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@2241f05b
[DEBUG] 2021-03-09 16:52:05.614 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@3414a8c3
[DEBUG] 2021-03-09 16:52:05.614 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@3414a8c3
[DEBUG] 2021-03-09 16:52:05.615 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@68d651f2
[DEBUG] 2021-03-09 16:52:05.615 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@10643593
[DEBUG] 2021-03-09 16:52:05.616 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@6917bb4
[DEBUG] 2021-03-09 16:52:05.617 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@6917bb4
